uid,consent,SII_1,SII_1_other,SII_1_reason,Date,Sow_date,SII_3_1,SII_3_2,SII_4_1,SII_4_2,SII_5,SII_6_1_UREA,SII_6_2_UREA,SII_6_3_UREA,SII_6_4_UREA,SII_7_1_UREA,SII_7_2_UREA,SII_7_3_UREA,SII_6_1_DAP,SII_6_2_DAP,SII_6_3_DAP,SII_6_4_DAP,SII_7_1_DAP,SII_7_2_DAP,SII_7_3_DAP,SII_6_1_MOP,SII_6_2_MOP,SII_6_3_MOP,SII_6_4_MOP,SII_7_1_MOP,SII_7_2_MOP,SII_7_3_MOP,SII_6_1_ZINC,SII_6_2_ZINC,SII_6_3_ZINC,SII_6_4_ZINC,SII_7_1_ZINC,SII_7_2_ZINC,SII_7_3_ZINC,SII_6_1_NPK_202020,SII_6_2_NPK_202020,SII_6_3_NPK_202020,SII_6_4_NPK_202020,SII_7_1_NPK_202020,SII_7_2_NPK_202020,SII_7_3_NPK_202020,SII_6_1_NPK_20200,SII_6_2_NPK_20200,SII_6_3_NPK_20200,SII_6_4_NPK_20200,SII_7_1_NPK_20200,SII_7_2_NPK_20200,SII_7_3_NPK_20200,SII_6_1_NPK_123216,SII_6_2_NPK_123216,SII_6_3_NPK_123216,SII_6_4_NPK_123216,SII_7_1_NPK_123216,SII_7_2_NPK_123216,SII_7_3_NPK_123216,FKT_1,FKT_2,FKT_3
B02V15F0432,Yes,Sowing,,,2018-08-08,2018-08-07,12.0,Bigha,0,,1,No,,,,,,,Yes,5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0434,Yes,Sowing,,,2018-08-20,2018-06-21,15.0,Bigha,1,Dam,1,No,,,,,,,Yes,6,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,No,,
B02V15F0435,Yes,Sowing,,,2018-08-18,2018-08-08,5.0,Bigha,1,Rainfall,1,Yes,1,Bag,50 Kilogram,Yes,,,Yes,12,Kilo,,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Useful,COTTON PAK BAGDI GYO CHE
B02V15F0436,Yes,Sowing,,,2018-08-16,2018-06-17,7.5,Bigha,1,Underground water,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0437,Yes,Sowing,,,2018-08-09,2018-06-05,10.0,Bigha,1,Underground water,1,Yes,40,Kilo,,Yes,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0441,Yes,Sowing,,,2018-08-08,2018-06-09,17.0,Bigha,1,Underground water,1,Yes,3,Bag,50 Kilogram,Yes,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0442,Yes,Sowing,,,2018-08-17,2018-06-18,15.0,Bigha,1,Underground water,1,No,,,,,,,Yes,5,Bag,50 Kilogram,Yes,,,No,,,,,,,Yes,25.0,Kilo,,Yes,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0444,Yes,Sowing,,,2018-08-08,2018-05-20,5.0,Acre,1,Dam,1,No,,,,,,,Yes,5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,NA
B02V15F0445,Yes,Sowing,,,2018-08-20,2018-05-22,10.0,Bigha,1,Underground water,1,Yes,3,Bag,50 Kilogram,Yes,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0446,Yes,Sowing,,,2018-08-08,2018-06-24,25.0,Bigha,1,Underground water,1,No,,,,,,,Yes,10,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0447,Yes,Sowing,,,2018-08-16,2018-07-02,16.0,Bigha,1,Surface Irrigation,1,Yes,5,Bag,45 Kilogram,Yes,,,Yes,7,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,TAMARI MAHITI PRAMANE J AME KAPAS NU VAVETAR KARYE CHE
B02V15F0449,Yes,Sowing,,,2018-08-16,2018-07-02,12.5,Bigha,1,Underground water,1,No,,,,,,,Yes,5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0450,Yes,Sowing,,,2018-08-09,2018-05-26,15.0,Bigha,1,Underground water,1,Yes,150,Kilo,,Yes,,,Yes,150,Kilo,,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0451,Yes,Sowing,,,2018-08-11,2018-06-12,10.0,Bigha,1,Dam,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0452,Yes,Sowing,,,2018-08-09,2018-06-10,5.0,Bigha,1,Dam,1,Yes,2,Bag,45 Kilogram,Yes,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,No,,
B02V15F0454,Yes,Sowing,,,2018-08-17,2018-07-03,3.0,Acre,0,,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,MAHITI JANI SHAKAY AEVI AAVE CHE AETLU J BHU CHHE.
B02V15F0455,Yes,No sowing,,VARSAD NATHI ETLE NATHI VAVETAR KAREL KAPAS NU,2018-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0456,Yes,Sowing,,,2018-08-10,2018-06-11,5.0,Acre,1,Dam,1,Yes,4,Bag,45 Kilogram,Yes,,,Yes,5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0457,No,,,,2018-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,BAVU SARI MAHITI CHE
B02V15F0458,Yes,Sowing,,,2018-08-16,2018-07-17,10.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,3,Bag,45 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0459,Yes,Sowing,,,2018-08-09,2018-07-20,5.0,Acre,1,Rainfall,1,No,,,,,,,Yes,5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0460,Yes,Sowing,,,2018-08-18,2018-06-04,5.0,Acre,1,Dam,1,No,,,,,,,Yes,5,Bag,25 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0461,Yes,Sowing,,,2018-08-08,2018-06-09,5.0,Acre,1,Underground water,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0462,Yes,Sowing,,,2018-08-17,2018-06-08,12.5,Bigha,1,Underground water,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V15F0464,Yes,Sowing,,,2018-08-18,2018-07-09,7.5,Bigha,1,Dam,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V16F0467,Yes,Sowing,,,2018-08-07,2018-06-18,10.0,Bigha,1,Underground water,1,No,,,,,,,Yes,5.5,Bag,50 Kilogram,No,10,Bigha,Yes,2,Bag,50 Kilogram,No,10,Bigha,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V16F0468,Yes,Sowing,,,2018-08-20,2018-06-21,7.0,Bigha,1,Underground water,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Useful,
B02V16F0471,Yes,Sowing,,,2018-08-16,2018-06-07,9.0,Bigha,1,Underground water,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,ATIYARE KOY SUCHNA NTHI APVI
B02V16F0472,Yes,Sowing,,,2018-08-16,2018-05-18,5.0,Bigha,1,Underground water,1,Yes,1,Bag,50 Kilogram,Yes,,,Yes,1,Bag,50 Kilogram,Yes,,,Yes,1,Bag,50 Kilogram,Yes,,,Yes,10.0,Kilo,,Yes,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,
B02V16F0474,Yes,Sowing,,,2018-08-17,2018-06-18,6.0,Bigha,1,Underground water,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,MAHITI KHUBAJ UPYOGI THAY CHE
B02V16F0475,Yes,Sowing,,,2018-08-07,2018-05-24,5.0,Bigha,1,Underground water,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,Yes,3,Bag,25 Kilogram,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V16F0478,Yes,Sowing,,,2018-08-16,2018-06-14,25.0,Bigha,1,Underground water,1,No,,,,,,,Yes,225,Kilo,,Yes,,,Yes,19,Kilo,,Yes,,,Yes,125.0,Kilo,,Yes,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V16F0480,Yes,Sowing,,,2018-08-17,2018-06-18,15.0,Bigha,1,Underground water,1,No,,,,,,,Yes,10,Bag,50 Kilogram,Yes,,,Yes,8,Bag,50 Kilogram,Yes,,,Yes,30.0,Kilo,,Yes,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,AAKHA DIVAS MA PHONE BAJU J PHONE AAVE CHE
B02V16F0482,Yes,Sowing,,,2018-08-08,2018-06-24,6.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,1.5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,
B02V16F0484,Yes,Sowing,,,2018-08-08,2018-07-09,6.0,Bigha,1,Underground water,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V16F0487,Yes,Sowing,,,2018-08-07,2018-07-03,8.0,Bigha,1,Underground water,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,Yes,120,Kilo,,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,COTTON NI MAHITI MALE CHHE AEVI RITE BAKALU NI MAHITI MALE TO GHANU SARU..
B02V16F0488,Yes,Sowing,,,2018-08-09,2018-06-10,7.0,Bigha,1,Underground water,1,No,,,,,,,Yes,49,Kilo,,Yes,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V16F0489,Yes,Sowing,,,2018-08-17,2018-06-18,30.0,Bigha,1,Underground water,1,No,,,,,,,Yes,8,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V16F0490,Yes,Sowing,,,2018-08-17,2018-05-19,15.0,Bigha,0,,1,No,,,,,,,Yes,5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,No,,
B02V16F0491,Yes,Sowing,,,2018-08-08,2018-06-09,13.0,Bigha,1,Underground water,1,Yes,78,Kilo,,Yes,,,Yes,104,Kilo,,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V16F0492,Yes,Sowing,,,2018-08-09,2018-06-15,10.0,Bigha,1,Underground water,1,Yes,3,Bag,45 Kilogram,Yes,,,Yes,2.5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V16F0493,Yes,Sowing,,,2018-08-11,2018-06-02,10.0,Bigha,1,Underground water,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,Yes,Very useful,
B02V16F0495,Yes,Sowing,,,2018-08-08,2018-06-09,6.0,Acre,1,Underground water,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,Yes,Very useful,
B02V16F0497,Yes,Sowing,,,2018-08-17,2018-06-18,3.0,Bigha,1,Underground water,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,NA
B02V17F0499,Yes,No sowing,,VARSAD NTHI ETLE KAPAS NTHI KARIYO,2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,NA
B02V17F0500,Yes,No sowing,,VARSAD NATHI AAYO AETLE VAVETAR NATHI KARIYU ANE VARSAD THAI PACHHI DIVELA KATO GAVAR KARSE,2018-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,
B02V17F0501,Yes,Sowing,,,2018-08-11,2018-06-12,8.5,Bigha,1,Rainfall,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,Yes,2.0,Bag,25 Kilogram,Yes,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,JE DAVA TAMARI SEVA MA KAHE CHHE E KYAI MALTI NATHI TO JE JAGYA YE DAVA MALE TE JAGYA NU ADDRESS KAPO
B02V17F0502,Yes,Sowing,,,2018-08-08,2018-06-24,3.0,Acre,1,Underground water,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very little use,MAHITI MA KAI J KHBR PADTI NTHI
B02V17F0503,Yes,Crop failure,KAPAS NO PAK BALI GYO TO 20 DIVAS PACHI.,,2018-08-09,2018-07-20,4.0,Acre,1,Underground water,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,Yes,Somewhat useful,
B02V17F0504,Yes,No sowing,,PANI NATHI AETALE KAPAS NU VAVETAR KARYU NATHI,2018-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0505,Yes,No sowing,,,2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,REGULAR MAHITI MADE J CHHE MATE KAI KEHVU NATHI..
B02V17F0507,Yes,Sowing,,,2018-08-16,2018-07-02,12.5,Bigha,0,,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0508,Yes,Sowing,,,2018-08-09,2018-06-25,20.0,Bigha,1,Underground water,1,Yes,6,Bag,45 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0509,Yes,Sowing,,,2018-08-07,2018-06-18,16.0,Bigha,1,Underground water,1,No,,,,,,,Yes,7,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Not useful,MAHITI SAMBHADTA J NATHI NE M KIDHU K PELI VAR J TMARO CALL AAVIYO KRISHI TARANG MATHI...
B02V17F0510,Yes,No sowing,,VARSHAD NATHI ETLE NATHI VAVEL PAK,2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0511,Yes,Sowing,,,2018-08-09,2018-06-25,13.0,Bigha,1,Underground water,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0512,Yes,Sowing,,,2018-08-20,2018-07-21,10.0,Bigha,1,Dam,1,No,,,,,,,Yes,3,Bag,50 Kilogram,No,10,Bigha,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0513,Yes,Sowing,,,2018-08-17,2018-06-18,12.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,NA
B02V17F0514,Yes,Crop failure,KAPAS  BALI GAYO,,2018-08-17,2018-07-13,6.0,Bigha,0,,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,,,,,,,,,,,,,,,Yes,Very little use,VARSAD AVE TO MAHITI UPIYOGI NA AVE TO MAHITI UPIYOGI NTHI
B02V17F0515,Yes,Sowing,,,2018-08-07,2018-07-03,10.0,Bigha,1,Rainfall,1,Yes,1,Bag,25 Kilogram,Yes,,,Yes,1,Bag,25 Kilogram,Yes,,,Yes,10,Kilo,,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,Yes,1,Bag,50 Kilogram,Yes,,,Yes,Very useful,8238267967 NO. PAR SEVA CHALU KARVANI CHE A RESPODENT NO NO. CHE
B02V17F0516,Yes,Sowing,,,2018-08-17,2018-07-16,8.0,Bigha,1,Underground water,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0517,Yes,Sowing,,,2018-08-11,2018-06-12,20.0,Bigha,1,Underground water,1,Yes,4,Bag,50 Kilogram,Yes,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,MAHITI BAVU SARI CHE
B02V17F0518,Yes,Sowing,,,2018-08-07,2018-06-08,30.0,Bigha,1,Underground water,1,Yes,5,Bag,50 Kilogram,Yes,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,Yes,Very useful,BAVU SARI LAGE CHE MAHITI
B02V17F0519,Yes,No sowing,,VARSAD J NATHI AETLE VAVETAR NATHI KARIYU,2018-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0520,Yes,Sowing,,,2018-08-09,2018-06-10,3.0,Bigha,1,Surface Irrigation,1,No,,,,,,,Yes,2.5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0522,Yes,Sowing,,,2018-08-18,2018-06-14,24.0,Bigha,1,Surface Irrigation,1,No,,,,,,,Yes,8,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0523,Yes,Sowing,,,2018-08-10,2018-06-11,1.0,Hectare,1,Underground water,1,No,,,,,,,Yes,1,Bag,50 Kilogram,Yes,,,Yes,1,Bag,50 Kilogram,Yes,,,Yes,1.0,Bag,25 Kilogram,Yes,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,TAMARI MAHITI THI KAPAS SARO THAY CHE
B02V17F0525,Yes,No sowing,,,2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Useful,
B02V17F0526,Yes,No sowing,,VARSAD NATHI AETLE VAVETAR NATHI KARIYU,2018-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0527,Yes,Sowing,,,2018-08-10,2018-07-11,9.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0528,Yes,No sowing,,pani nathi mate aa vakhate kapas nu vavetar karyu nathi,2018-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,BAVU SARI CHE MAHITI
B02V17F0529,Yes,Sowing,,,2018-08-09,2018-06-25,3.0,Bigha,1,Underground water,1,No,,,,,,,Yes,1,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Useful,
B02V17F0530,Yes,Sowing,,,2018-08-18,2018-05-13,10.0,Bigha,1,Underground water,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,Yes,Very useful,1 NUMBER DABAVI DIRECT QUESTION RECORD THAY TO SARU BAHU LAMBI PRAKIYA CHHE AETLE FAVTU NATHI
B02V17F0532,Yes,Sowing,,,2018-08-16,2018-06-17,15.0,Bigha,1,Underground water,1,No,,,,,,,Yes,6,Bag,50 Kilogram,Yes,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V17F0533,Yes,Sowing,,,2018-08-17,2018-05-12,9.0,Bigha,1,Underground water,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,Yes,Very useful,
B02V18F0534,Yes,No sowing,,,2018-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very little use,NA
B02V18F0535,Yes,Sowing,,,2018-08-09,2018-05-11,25.0,Acre,1,Underground water,1,No,,,,,,,Yes,9,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V18F0536,Yes,Sowing,,,2018-08-17,2018-06-18,15.0,Bigha,1,Underground water,1,No,,,,,,,Yes,5,Bag,50 Kilogram,Yes,,,Yes,4,Bag,50 Kilogram,Yes,,,Yes,3.0,Bag,25 Kilogram,Yes,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very little use,NA..
B02V18F0537,Yes,Sowing,,,2018-08-16,2018-06-07,15.0,Bigha,1,Surface Irrigation,1,No,,,,,,,Yes,5,Bag,50 Kilogram,Yes,,,No,,,,,,,Yes,25.0,Kilo,,Yes,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,NA
B02V18F0538,Yes,Sowing,,,2018-08-21,2018-06-12,3.65,Acre,1,Underground water,1,No,,,,,,,Yes,175,Kilo,,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V18F0539,Yes,No sowing,,VARSHAD NATHI MATE VAVETARJ NATHI KARYU,2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V18F0541,Yes,Sowing,,,2018-08-17,2018-06-03,10.0,Bigha,1,Underground water,1,No,,,,,,,Yes,4,Bag,25 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V18F0542,Yes,Sowing,,,2018-08-18,2018-06-19,4.0,Bigha,1,Underground water,1,No,,,,,,,Yes,1,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,Yes,1,Bag,50 Kilogram,Yes,,,,,,,,,,,,,,,,,Yes,Not useful,KESAT MA JE MAHITI AAVE TEMA KHABAR NATHI PADTI MATE RUBRU MA MAHITI AAPO
B02V18F0543,Yes,Sowing,,,2018-08-09,2018-06-25,13.0,Bigha,1,Underground water,1,No,,,,,,,Yes,2.5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,MAHITI AAPE AE PRAME J TEMNE AAYOJAN KARE CHHE.
B02V18F0544,Yes,Sowing,,,2018-08-20,2018-07-01,18.0,Bigha,1,Underground water,1,No,,,,,,,Yes,6,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,KHEDUT NE BAJAR BHAV NI MAHITI AAPO TO VAGHARE SARU
B02V18F0545,Yes,Sowing,,,2018-08-17,2018-06-18,11.0,Bigha,1,Underground water,1,Yes,6,Bag,45 Kilogram,Yes,,,Yes,2,Bag,50 Kilogram,Yes,,,Yes,2,Bag,50 Kilogram,Yes,,,Yes,1.0,Bag,25 Kilogram,Yes,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V18F0547,Yes,Sowing,,,2018-08-10,2018-06-11,12.0,Bigha,1,Underground water,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V18F0548,Yes,Sowing,,,2018-08-10,2018-06-11,4.0,Acre,1,Underground water,1,Yes,4,Bag,50 Kilogram,Yes,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V18F0549,Yes,Sowing,,,2018-08-10,2018-05-27,22.0,Bigha,1,Underground water,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,Yes,11.5,Bag,50 Kilogram,Yes,,,No,,
B02V18F0551,Yes,Sowing,,,2018-08-16,2018-06-17,20.0,Bigha,1,Underground water,1,No,,,,,,,Yes,7,Bag,50 Kilogram,Yes,,,No,,,,,,,Yes,1.0,Bag,25 Kilogram,Yes,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B02V18F0552,Yes,Sowing,,,2018-08-09,2018-07-10,10.0,Bigha,1,Underground water,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Not useful,MAHITI NATHI JOTI
B02V18F0553,Yes,Sowing,,,2018-08-18,2018-07-04,7.5,Bigha,1,Underground water,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Not useful,
B02V18F0554,Yes,Sowing,,,2018-08-08,2018-06-09,12.0,Bigha,1,Surface Irrigation,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,SEVA BAHU J UPYOGI THAY CHE
